Funding_per_contributor,Funding_per_milestone,Status_numeric,average_milestone_duration,average_milestone_duration_days,milestone_days_duration,first_milestone_date,funding_duration_days,last_funding_date,first_funding_date,Is Duplicate Row?,Status,years_from_first_to_last_milestone,last_milestone_date,amount_milestones,Funding_total_size,Fundingrounds,Fundingtotal,LocalCode:42,Name,state,city,zip_code_no_null,latitude,longitude,OfficeAddress_no_null,FoundingDate,closedDate,acquiredDate,BusinessField,NumContributors,NumPartners,company_id_corrected
5000000,1666666,1,3,405,3,23.03.2009,0,01.06.2006,01.06.2006,Unique,Successful (Acquired),1,01.05.2010,3,Medium (2M+),1,5000000,343,mSnap,CO,Denver,80202,"39,750152","-104,996438",Denver CO 80202,01.06.2005,,29.01.2017,mobile,1,6,20488
500000,250000,0,2,112,2,01.01.2009,0,23.04.2009,23.04.2009,Unique,Failed,0,23.04.2009,2,Small Investment (<2M),1,500000,348,LookStat,WA,Seattle,98102,"47,6447802","-122,325878",Unknown,01.01.2008,07.02.2016,,ecommerce,1,3,20832
2500000,0,0,,,,,0,26.08.2005,26.08.2005,Unique,Failed,,,,Medium (2M+),1,2500000,922,Generic Media,CA,Palo Alto,94301,"37,441537","-122,158332",Palo Alto CA 94301,01.01.2000,11.03.2018,,software,1,0,56580
1200000,1200000,0,1,0,1,01.09.2010,0,27.02.2006,27.02.2006,Unique,Failed,0,01.09.2010,1,Small Investment (<2M),1,1200000,311,Punch Entertainment,CA,Palo Alto,94303,"37,4233698","-122,0986859",Unknown,10.05.2005,20.10.2016,,software,1,4,18897
3950000,3950000,1,2,142,2,01.09.2009,3852,25.03.2011,18.09.2007,Unique,Successful (Acquired),1,21.01.2010,2,Medium (2M+),3,7900000,971,LocaModa,MA,Cambridge,2142,"42,358822","-71,104329",Unknown,01.01.2007,,16.10.2016,advertising,2,8,615
3400000,8500000,1,2,40,2,01.05.2011,0,10.06.2011,10.06.2011,Unique,Successful (Acquired),0,10.06.2011,2,Medium-High (10M+),1,17000000,1069,JouleX,GA,Atlanta,30305,"33,749099","-84,390185",Atlanta GA 30305,01.01.2009,,08.04.2015,enterprise,5,10,78759
14500000,9666666,1,3,765,3,19.04.2009,1010,22.08.2007,04.04.2006,Unique,Successful (Acquired),2,23.05.2011,3,Medium-High (10M+),2,29000000,629,Clearwell Systems,CA,Mountain View,94043,"37,398022","-122,049143",Unknown,06.12.2004,,28.01.2016,software,2,6,3610
235600,1178000,1,1,0,1,01.01.2011,3530,07.07.2012,01.08.2010,Unique,Successful (Acquired),0,01.01.2011,1,Small Investment (<2M),5,1178000,849,Locately,MA,Boston,2110,"42,360253","-71,058291",Boston MA 2110,01.07.2008,,10.09.2015,software,5,5,49876
5550000,5550000,1,1,0,1,01.06.2008,1502,21.01.2006,01.01.2004,Unique,Successful (Acquired),0,01.06.2008,1,Medium (2M+),2,5550000,910,Jobs2Web,MN,Minnetonka,55343,"44,912723","-93,499059",Minnetonka MN 55343,01.01.2003,,23.03.2016,web,1,3,55421
4900000,1633333,0,3,945,3,11.01.2006,1036,01.01.2008,01.08.2006,Unique,Failed,2,12.08.2008,3,Medium (2M+),2,4900000,966,TeleFlip,CA,Santa Monica,90405,"34,01695","-118,451933",Unknown,01.01.2004,19.04.2015,,mobile,1,5,6049
4500000,0,0,,,,,0,12.04.2007,12.04.2007,Unique,Failed,,,,Medium (2M+),1,9000000,742,U.S. Fiduciary,TX,Houston,77046,"29,758938","-95,367697",Houston TX 77046,01.01.2003,25.04.2018,,other,2,4,43133
3750000,0,1,,,,,0,25.08.2006,25.08.2006,Unique,Successful (Acquired),,,,Medium (2M+),2,7500000,956,B-hive Networks,CA,San Mateo,94403,"37,536402","-122,325129",Unknown,01.01.2005,,22.07.2015,software,2,4,5988
5000000,0,1,,,,,0,23.06.2010,23.06.2010,Unique,Successful (Acquired),,,,Medium-High (10M+),1,30000000,852,Baxano,CA,San Jose,95134,"37,404788","-121,940842",San Jose CA 95134,01.01.2005,,06.06.2015,medical,6,5,50092
15500000,7750000,1,2,1124,2,05.10.2009,1514,01.11.2011,05.10.2009,Unique,Successful (Acquired),3,01.11.2012,2,Medium-High (10M+),2,15500000,589,Causata,CA,San Francisco,94404,"37,556732","-122,288378",Unknown,01.01.2009,,19.09.2019,software,1,12,33198
8500000,14166666,1,3,498,3,18.12.2009,546,18.09.2006,19.12.2005,Unique,Successful (Acquired),2,01.05.2011,3,Medium-High (10M+),2,42500000,622,"LifeSize, a Division of Logitech",TX,Austin,78746,"30,265927","-97,783642",Austin TX 78746,01.01.2003,,24.04.2015,public_relations,5,16,35511
40000000,26666666,1,3,1698,3,15.01.2009,10240,10.07.2012,01.12.2006,Unique,Successful (Acquired),4,10.09.2013,3,High (50M+),5,80000000,258,Meraki,CA,San Francisco,94110,"37,392443","-122,072517",Unknown,01.04.2006,,18.08.2018,network_hosting,2,16,1731
10500000,21000000,1,1,0,1,01.01.2009,844,26.01.2009,01.12.2007,Unique,Successful (Acquired),0,01.01.2009,1,Medium-High (10M+),2,21000000,285,Virtual Computer,MA,Westford,1886,"42,579258","-71,437841",Westford MA 1886,01.01.2007,,25.09.2016,software,2,9,17774
350000,875000,1,2,320,2,01.12.2012,0,30.06.2012,30.06.2012,Unique,Successful (Acquired),1,17.10.2013,2,Small Investment (<2M),1,1750000,208,#waywire,NY,New York,10005,"40,730646","-73,986614",New York NY 10005,01.06.2012,,22.03.2019,news,5,8,163104
10569438,0,0,,,,,8400,23.06.2011,16.11.2006,Unique,Failed,,,,Medium-High (10M+),5,21138876,164,SeeSaw Networks,CA,San Francisco,94104,"37,791564","-122,399981",Unknown,01.01.2005,25.09.2018,,advertising,2,4,15687
2250000,0,0,,,,,0,09.05.2006,09.05.2006,Unique,Failed,,,,Medium (2M+),1,9000000,837,Auvitek International,TX,Plano,75023,"33,068275","-96,711101",Plano TX 75023,01.03.2004,10.12.2016,,semiconductor,4,32,48640
6333333,19000000,0,1,0,1,01.01.2005,3502,01.05.2012,16.07.2007,Unique,Failed,0,01.01.2005,1,Medium-High (10M+),2,19000000,728,Certeon,MA,Burlington,1803,"42,504817","-71,195611",Burlington MA 1803,01.01.2003,15.10.2016,,software,3,2,42163
460999,1152499,1,2,640,2,01.06.2011,634,14.11.2011,01.01.2011,Unique,Successful (Acquired),2,02.03.2013,2,Medium (2M+),2,2304999,145,Karma,CA,San Francisco,94105,"37,779281","-122,419236",San Francisco CA 94105,01.01.2011,,26.08.2018,mobile,5,3,150658
1000000,1000000,0,1,0,1,28.06.2010,0,15.11.2005,15.11.2005,Unique,Failed,0,28.06.2010,1,Small Investment (<2M),1,1000000,675,Make It Work,CA,Santa Barbara,93105,"34,491118","-119,808096",Santa Barbara CA 93105,01.01.1995,03.05.2019,,hardware,1,3,38655
9400000,3133333,1,3,837,3,18.05.2010,1077,31.03.2010,06.04.2009,Unique,Successful (Acquired),2,01.09.2012,3,Medium (2M+),3,9400000,1000,Socialcast,CA,San Francisco,94107,"37,7819267","-122,3932389",Unknown,01.06.2005,,21.12.2017,enterprise,1,18,6562
6000000,3000000,1,2,1316,2,01.11.2006,0,29.11.2008,29.11.2008,Unique,Successful (Acquired),4,08.06.2010,2,Medium (2M+),1,6000000,1109,Napera Networks,WA,Bellevue,98006,"47,578174","-122,212731",Unknown,01.12.2006,,26.11.2017,network_hosting,1,3,8527
3166666,0,0,,,,,2036,13.01.2010,01.04.2007,Unique,Failed,,,,Medium (2M+),2,9500000,175,Avega Systems,CA,Mountain View,94040,"37,391642","-122,093935",Mountain View CA 94040,01.01.2005,28.02.2016,,hardware,3,2,15870
350000,0,0,,,,,0,01.12.2008,01.12.2008,Unique,Failed,,,,Small Investment (<2M),1,350000,333,Pacinian,WA,SPOKANE,99202,"47,657943","-117,421226",SPOKANE WA 99202,01.04.2007,22.07.2019,,hardware,1,3,19869
2571428,18000000,1,1,0,1,01.01.2006,0,13.02.2006,13.02.2006,Unique,Successful (Acquired),0,01.01.2006,1,Medium-High (10M+),1,18000000,782,Netli,CA,Palo Alto,94303,"37,440682","-122,123103",Palo Alto CA 94303,01.01.2000,,18.08.2019,network_hosting,7,9,44650
855000,855000,1,3,918,3,09.03.2010,260,11.03.2010,01.11.2009,Unique,Successful (Acquired),2,12.09.2012,3,Medium (2M+),2,2565000,618,Chomp,CA,San Francisco,94103,"37,779281","-122,419236",San Francisco CA 94103,09.09.2009,,29.04.2017,mobile,3,10,35236
125000,0,0,,,,,0,01.09.2008,01.09.2008,Unique,Failed,,,,Small Investment (<2M),1,125000,122,Hit Systems,FL,Altamonte Springs,32714,"28,66677","-81,392794",Unknown,01.09.2008,05.06.2018,,enterprise,1,2,14483
1000000,2000000,1,1,0,1,05.11.2009,0,01.11.2009,01.11.2009,Unique,Successful (Acquired),0,05.11.2009,1,Medium (2M+),1,2000000,708,Immunet Corporation,CA,Palo Alto,94306,"37,424298","-122,139809",Palo Alto CA 94306,01.07.2008,,23.08.2018,software,2,3,40762
5000000,10000000,0,2,586,2,01.01.2009,0,31.07.2008,31.07.2008,Unique,Failed,1,10.08.2010,2,Medium-High (10M+),1,20000000,189,Kickfire,CA,Santa Clara,95054,"37,381876","-121,95993",Unknown,01.01.2006,26.07.2019,,software,4,4,16134
8250000,11000000,0,3,534,3,05.01.2009,5148,11.05.2010,01.11.2006,Unique,Failed,1,22.06.2010,3,Medium-High (10M+),4,33000000,211,RipCode,TX,Richardson,75081,"32,959908","-96,70737",Unknown,06.08.2006,17.10.2018,,software,4,10,1637
10666666,32000000,1,1,0,1,01.01.2010,2808,29.12.2008,07.06.2006,Unique,Successful (Acquired),0,01.01.2010,1,Medium-High (10M+),3,32000000,194,Provigent,CA,Santa Clara,Unknown,"37,381341","-121,977065",Unknown,01.01.2000,,19.11.2019,semiconductor,3,10,16189
163833,491500,1,2,832,2,01.07.2011,264,10.11.2011,01.07.2011,Unique,Successful (Acquired),2,09.10.2013,2,Small Investment (<2M),2,983000,1093,Dispatch,NY,New York,10003,"40,729839","-73,991781",New York NY 10003,01.05.2011,,09.05.2019,messaging,6,4,82843
1333333,0,0,,,,,0,21.09.2005,21.09.2005,Unique,Failed,,,,Medium (2M+),1,4000000,895,Blue Vector Systems,CA,Mountain View,94043,"37,406914","-122,09037",Mountain View CA 94043,01.01.2002,24.08.2016,,public_relations,3,1,54066
100000,33333,0,3,60,3,25.05.2011,0,20.05.2011,20.05.2011,Unique,Failed,0,25.07.2011,3,Small Investment (<2M),1,100000,998,Bevvy,CA,Los Angeles,90046,"34,098242","-118,35697",Los Angeles CA 90046,08.01.2011,20.05.2017,,ecommerce,1,9,65389
2500000,2500000,1,3,366,3,19.07.2011,764,18.11.2009,01.11.2008,Unique,Successful (Acquired),1,20.07.2012,3,Medium (2M+),2,7500000,305,Outright,CA,Mountain View,94041,"37,287285","-121,942932",Unknown,01.06.2008,,26.10.2015,enterprise,3,12,18470
11700000,7800000,1,3,723,3,15.06.2011,6740,11.10.2012,01.03.2008,Unique,Successful (Acquired),2,06.06.2013,3,Medium-High (10M+),4,23400000,428,Oyster.com,NY,New York,10011,"40,7418877","-74,0047466",Unknown,01.03.2008,,26.06.2017,travel,2,15,25306
25131611,0,1,,,,,921,02.01.2007,01.03.2006,Unique,Successful (Acquired),,,,Medium-High (10M+),3,25131611,280,Firethorn,GA,Atlanta,30305,"33,749099","-84,390185",Atlanta GA 30305,01.01.2001,,08.01.2017,mobile,1,1,17660
6250000,0,1,,,,,1299,10.04.2006,01.02.2005,Unique,Successful (Acquired),,,,Medium-High (10M+),3,12500000,917,iConclude,WA,Bellevue,98004,"47,614422","-122,192337",Bellevue WA 98004,01.01.2005,,01.06.2018,software,2,5,5587
13750000,55000000,0,1,0,1,01.07.2011,1148,15.12.2011,20.05.2010,Unique,Failed,0,01.07.2011,1,High (50M+),2,55000000,836,NeuroTherapeutics Pharma,IL,Chicago,60631,"41,940611","-87,835972",Chicago IL 60631,01.01.2006,10.12.2016,,biotech,4,5,48376
16836328,11224218,1,3,408,3,01.10.2012,20972,14.05.2013,01.03.2005,Unique,Successful (Acquired),1,13.11.2013,3,Medium-High (10M+),7,33672656,1037,Photobucket,CO,Denver,80205,"47,601803","-122,332085",Unknown,01.06.2003,,30.08.2019,web,2,35,7299
7250000,7250000,1,2,282,2,15.08.2010,1462,01.01.2006,01.01.2004,Unique,Successful (Acquired),1,23.05.2011,2,Medium-High (10M+),2,14500000,456,BzzAgent,MA,Boston,2118,"42,341899","-71,065924",Unknown,01.01.2001,,06.09.2019,advertising,2,16,26460
21900000,10950000,1,2,1648,2,01.01.2007,4266,07.01.2011,15.02.2007,Unique,Successful (Acquired),4,06.07.2011,2,Medium-High (10M+),3,21900000,1137,dynaTrace software,MA,Waltham,2451,"42,391389","-71,270987",Unknown,01.01.2005,,07.10.2016,software,1,5,9373
30000000,30000000,1,3,141,3,04.06.2012,7220,15.08.2011,01.09.2007,Unique,Successful (Acquired),0,24.10.2012,3,High (50M+),5,90000000,1145,Salesforce Buddy Media,NY,New York,10001,"40,756054","-73,986951",Unknown,01.09.2007,,31.08.2015,enterprise,3,24,967
300000,0,0,,,,,0,10.01.2012,10.01.2012,Unique,Failed,,,,Small Investment (<2M),1,600000,236,spotdock,NY,NYC,10012,"40,730646","-73,986614",NYC NY 10012,15.11.2011,21.05.2016,,web,2,4,167795
5000000,2500000,1,2,200,2,01.05.2011,1378,20.10.2009,01.12.2007,Unique,Successful (Acquired),0,16.11.2011,2,Medium (2M+),2,5000000,844,Zinch,CA,San Francisco,94103,"40,234451","-111,658656",Unknown,01.02.2007,,22.04.2015,web,1,17,4961
1611111,4833333,1,3,1482,3,01.11.2006,0,01.04.2006,01.04.2006,Unique,Successful (Acquired),4,22.11.2010,3,Medium-High (10M+),1,14500000,1153,Zimbra,CA,Palo Alto,94304,"37,557637","-122,285714",Unknown,01.01.2003,,22.06.2016,enterprise,9,19,997
8000000,8000000,1,1,0,1,19.05.2010,994,14.07.2009,04.03.2008,Unique,Successful (Acquired),0,19.05.2010,1,Medium (2M+),2,8000000,498,Generate,CA,Santa Monica,90404,"34,031328","-118,471463",Unknown,01.01.2004,,06.04.2017,games_video,1,0,2838
1050000,1050000,0,1,0,1,01.08.2010,812,24.02.2011,14.01.2010,Unique,Failed,0,01.08.2010,1,Small Investment (<2M),2,1050000,707,Media Chaperone,IL,Chicago,60657,"41,875555","-87,624421",Chicago IL 60657,01.01.2009,31.05.2018,,web,1,2,40665
3750000,15000000,1,1,0,1,01.01.2006,0,22.01.2007,22.01.2007,Unique,Successful (Acquired),0,01.01.2006,1,Medium-High (10M+),1,15000000,572,Scalent Systems,CA,Palo Alto,94303,"37,429676","-122,1085482",Unknown,01.01.2003,,28.04.2018,public_relations,4,7,3193
25000,0,0,,,,,0,26.06.2009,26.06.2009,Unique,Failed,,,,Small Investment (<2M),1,25000,444,TwtBks,CA,San Francisco,94110,"37,7611016","-122,4160008",Unknown,20.06.2009,27.07.2017,,web,1,3,25808
10800000,10800000,0,1,0,1,01.04.2006,918,04.03.2008,01.12.2006,Unique,Failed,0,01.04.2006,1,Medium-High (10M+),2,10800000,694,Storm Exchange,NY,New York,10010,"40,730646","-73,986614",New York NY 10010,01.04.2006,04.08.2019,,enterprise,1,2,39801
17600000,11733333,1,3,306,3,29.01.2013,10410,01.10.2012,01.01.2008,Unique,Successful (Acquired),0,02.12.2013,3,Medium-High (10M+),6,35200000,397,Topsy Labs,CA,San Francisco,94105,"37,775196","-122,419204",Unknown,15.01.2007,,25.06.2018,analytics,2,18,23588
17475000,0,1,,,,,6308,21.05.2009,25.01.2005,Unique,Successful (Acquired),,,,High (50M+),4,69900000,415,Avid Radiopharmaceuticals,PA,Philadelphia,19104,"39,952399","-75,16359",Philadelphia PA 19104,01.01.2005,,05.01.2018,biotech,4,15,24727
2500000,3333333,1,3,1065,3,01.05.2007,0,07.07.2005,07.07.2005,Unique,Successful (Acquired),3,01.04.2010,3,Medium-High (10M+),1,10000000,490,Boonty,NY,New York,10013,"40,717248","-74,002662",Unknown,01.03.2001,,06.06.2015,games_video,4,7,2804
1431250,3816666,1,3,750,3,15.02.2011,264,04.01.2011,25.08.2010,Unique,Successful (Acquired),2,07.03.2013,3,Medium-High (10M+),2,11450000,907,GroupMe,NY,New York,10010,"40,730646","-73,986614",New York NY 10010,01.05.2010,,24.03.2016,messaging,8,16,55122
2350000,2350000,1,4,380,4,25.06.2009,3507,15.03.2010,01.01.2007,Unique,Successful (Acquired),1,08.07.2010,4,Medium (2M+),3,9400000,1119,Metaplace,CA,Solana Beach,90275,"33,020832","-117,077311",Unknown,01.07.2006,,17.04.2019,games_video,4,5,885
28000000,14000000,0,2,1654,2,01.05.2006,4848,10.11.2010,17.07.2007,Unique,Failed,4,10.11.2010,2,Medium-High (10M+),4,28000000,49,MyShape,CA,Glendale,91203,"34,141876","-118,132377",Unknown,01.09.2003,04.12.2016,,ecommerce,1,3,11817
10000000,10000000,1,1,0,1,01.01.2006,0,01.01.2006,01.01.2006,Unique,Successful (Acquired),0,01.01.2006,1,Medium-High (10M+),1,10000000,237,TeleCIS Wireless,CA,Campbell,95008,"37,288326","-121,945633",Campbell CA 95008,01.01.2000,,19.12.2014,semiconductor,1,2,16784
4000000,2000000,0,2,438,2,01.05.2011,0,22.11.2010,22.11.2010,Unique,Failed,1,11.07.2012,2,Medium (2M+),1,4000000,942,Hashable,NY,New York City,10018,"40,730646","-73,986614",New York City NY 10018,01.01.2010,24.06.2016,,mobile,1,15,58699
1278571,4475000,1,2,306,2,20.10.2012,894,23.04.2012,01.02.2011,Unique,Successful (Acquired),1,22.08.2013,2,Medium (2M+),2,8950000,1097,Singly,CA,San Francisco,94110,"37,779281","-122,419236",San Francisco CA 94110,21.12.2010,,11.04.2015,analytics,7,24,83265
36000000,36000000,1,2,798,2,01.07.2011,9486,01.03.2011,01.11.2006,Unique,Successful (Acquired),2,05.09.2013,2,High (50M+),6,72000000,307,Amobee,CA,Redwood City,94065,"37,52845","-122,263721",Unknown,01.05.2005,,07.05.2018,advertising,2,25,1870
36300000,18150000,0,2,816,2,08.08.2008,3249,13.07.2011,25.07.2008,Unique,Failed,2,01.11.2010,2,Medium-High (10M+),3,36300000,952,Aptera,CA,Carlsbad,92010,"33,133524","-117,254593",Unknown,01.01.2003,22.12.2014,,automotive,1,3,5952
120000,240000,1,1,0,1,10.08.2009,0,01.12.2008,01.12.2008,Unique,Successful (Acquired),0,10.08.2009,1,Small Investment (<2M),1,240000,209,Socialbomb,NY,New York,10010,"40,730646","-73,986614",New York NY 10010,05.06.2008,,06.03.2018,games_video,2,6,16343
2000000,1000000,0,2,306,2,25.04.2011,0,10.10.2011,10.10.2011,Unique,Failed,1,24.02.2012,2,Medium (2M+),1,2000000,1080,Eyeona,CA,Los Gatos,95030,"37,222698","-121,979887",Los Gatos CA 95030,01.01.2011,10.11.2016,,web,1,3,80259
1333333,1333333,1,3,3,3,01.02.2011,1464,03.02.2011,01.02.2009,Unique,Successful (Acquired),0,03.02.2011,3,Medium (2M+),2,4000000,608,MyEnergy,MA,Boston,2109,"42,360253","-71,058291",Boston MA 2109,04.06.2007,,30.12.2016,web,3,12,34499
89500000,44750000,0,2,28,2,02.12.2009,2556,01.10.2009,01.01.2008,Unique,Failed,0,30.12.2009,2,High (50M+),4,89500000,389,Canopy Financial,CA,San Francisco,94105,"37,791388","-122,392148",Unknown,01.01.2004,21.09.2018,,finance,1,6,23192
866666,1300000,1,2,138,2,17.11.2010,681,14.01.2008,01.06.2007,Unique,Successful (Acquired),1,04.04.2011,2,Medium (2M+),3,2600000,1148,Grouply,CA,Redwood City,94063,"37,502742","-122,211281",Unknown,01.03.2006,,14.02.2017,network_hosting,3,13,975
5000000,0,0,,,,,412,25.03.2008,01.09.2007,Unique,Failed,,,,Medium (2M+),2,5000000,585,Tapioca Mobile,CA,San Diego,92121,"32,88945","-117,166929",Unknown,01.01.2008,07.12.2017,,mobile,1,5,3267
6400000,12800000,0,1,0,1,01.01.2012,2804,05.10.2011,03.12.2007,Unique,Failed,0,01.01.2012,1,Medium-High (10M+),2,12800000,107,Amadesa,IL,Evanston,60201,"42,055849","-87,694664",Unknown,15.05.2005,18.07.2019,,software,2,15,13921
2843191,1895461,1,3,1059,3,10.11.2010,1294,07.02.2012,01.05.2010,Unique,Successful (Acquired),3,03.10.2013,3,Medium (2M+),2,5686383,53,Xtify Inc.,NY,New York,10003,"40,729839","-73,991781",New York NY 10003,01.04.2009,,26.08.2015,mobile,2,9,12071
16333333,49000000,0,1,0,1,01.07.2008,7625,05.10.2009,02.08.2005,Unique,Failed,0,01.07.2008,1,Medium-High (10M+),5,49000000,235,QSecure,CA,Los Altos,94022,"37,3962827","-122,105531",Unknown,01.01.2003,07.11.2016,,security,3,8,16770
4000000,1000000,0,4,656,4,01.05.2009,0,01.02.2011,01.02.2011,Unique,Failed,2,14.02.2011,4,Medium (2M+),1,4000000,594,RFinity,ID,Idaho Falls,83402,"43,493525","-112,040092",Idaho Falls ID 83402,01.10.2008,11.09.2015,,mobile,1,5,33519
11000000,11000000,1,1,0,1,01.01.2010,5592,29.04.2010,22.03.2005,Unique,Successful (Acquired),0,01.01.2010,1,Medium-High (10M+),3,11000000,761,Loyalty Lab,CA,San Francisco,94105,"37,779281","-122,419236",San Francisco CA 94105,01.01.2003,,20.06.2015,software,1,4,43832
5000000,2500000,1,2,472,2,01.01.2012,0,27.04.2012,27.04.2012,Unique,Successful (Acquired),1,16.04.2013,2,Medium (2M+),1,5000000,964,Cloudmeter,CA,Mountain View,94041,"37,388869","-122,072353",Mountain View CA 94041,01.04.2007,,05.03.2017,enterprise,1,7,60436
1000000,333333,1,3,1461,3,01.01.2008,0,01.10.2007,01.10.2007,Unique,Successful (Acquired),4,01.01.2012,3,Small Investment (<2M),1,1000000,62,SezWho,CA,Los Altos,94024,"37,351894","-122,085807",Unknown,01.10.2006,,27.12.2018,web,1,4,1223
2072000,10360000,0,1,0,1,01.01.2005,0,08.08.2007,08.08.2007,Unique,Failed,0,01.01.2005,1,Medium-High (10M+),1,10360000,737,Qlusters,CA,Palo Alto,94304,"37,416597","-122,154064",Palo Alto CA 94304,01.01.2001,19.02.2016,,other,5,3,42610
1000000,500000,1,2,268,2,04.08.2011,0,01.01.2008,01.01.2008,Unique,Successful (Acquired),1,28.04.2012,2,Small Investment (<2M),1,1000000,437,Kluster,NY,New York,10016,"40,723652","-73,985281",Unknown,01.01.2008,,10.07.2016,web,1,0,2566
4333333,6500000,1,2,196,2,01.04.2013,536,24.01.2012,01.05.2011,Unique,Successful (Acquired),0,13.10.2013,2,Medium-High (10M+),2,13000000,1041,Onavo,CA,Palo Alto,94306,"37,424298","-122,139809",Palo Alto CA 94306,01.01.2010,,17.03.2017,mobile,3,11,73586
58200000,19400000,1,3,2556,3,01.01.2004,13085,01.07.2007,01.05.2000,Unique,Successful (Acquired),7,01.01.2011,3,High (50M+),5,58200000,427,Action Engine,WA,Bellevue,98005,"47,631239","-122,16806",Unknown,01.02.2000,,12.09.2019,mobile,1,9,253
4200000,2800000,1,3,912,3,09.07.2008,1032,01.07.2008,01.02.2007,Unique,Successful (Acquired),3,07.01.2011,3,Medium (2M+),2,8400000,602,Dimdim,MA,Lowell,1851,"42,6161515","-71,3258687",Unknown,01.01.2006,,16.10.2015,web,2,10,3413
17350000,34700000,1,1,0,1,01.01.2010,7740,20.04.2010,01.01.2005,Unique,Successful (Acquired),0,01.01.2010,1,Medium-High (10M+),4,34700000,99,Imagine Communications,CA,San Diego,92130,"32,9388917","-117,2398594",Unknown,01.01.2005,,04.03.2015,software,2,17,13734
27800000,27800000,0,2,894,2,01.06.2006,730,01.01.2008,01.01.2007,Unique,Failed,2,11.11.2008,2,High (50M+),2,55600000,314,MOLI,CT,Hartford,6103,"54,983201","-1,574631",Hartford CT 6103,01.01.2008,27.11.2016,,network_hosting,2,9,1899
1015000,507500,0,2,170,2,27.09.2010,486,01.09.2010,01.01.2010,Unique,Failed,1,15.03.2011,2,Small Investment (<2M),2,1015000,857,Opzi,CA,San Francisco,94107,"37,779281","-122,419236",San Francisco CA 94107,01.05.2010,23.12.2015,,games_video,1,5,50449
25000,0,0,,,,,0,01.07.2009,01.07.2009,Unique,Failed,,,,Small Investment (<2M),1,25000,605,Zipano,PA,Pittsburgh,15219,"40,441694","-79,990086",Pittsburgh PA 15219,01.06.2009,09.06.2015,,security,1,2,34338
11082545,0,1,,,,,13180,06.05.2010,26.09.2006,Unique,Successful (Acquired),,,,Medium-High (10M+),10,22165091,643,Genesis Networks,NY,New York,10119,"40,730646","-73,986614",New York NY 10119,01.01.2002,,21.02.2016,network_hosting,2,4,36936
5750000,1437500,1,4,1168,4,01.05.2008,3300,05.02.2010,01.02.2007,Unique,Successful (Acquired),3,12.07.2011,4,Medium (2M+),3,5750000,846,Doostang,CA,Palo Alto,94306,"37,427235","-122,145783",Unknown,01.06.2005,,17.02.2015,web,1,14,498
35000000,17500000,1,4,876,4,18.04.2011,9530,20.12.2010,01.10.2005,Unique,Successful (Acquired),2,09.09.2013,4,High (50M+),5,70000000,257,Meebo,CA,Mountain View,94041,"37,393679","-122,079017",Unknown,01.02.2005,,03.05.2017,web,2,29,173
4925000,19700000,0,1,0,1,01.01.2004,952,01.01.2007,12.09.2005,Unique,Failed,0,01.01.2004,1,Medium-High (10M+),2,19700000,810,Mendocino Software,CA,Fremont,94538,"37,54827","-121,988572",Fremont CA 94538,01.01.2003,27.08.2015,,software,4,2,46186
2000000,0,0,,,,,0,10.06.2011,10.06.2011,Unique,Failed,,,,Medium (2M+),1,2000000,126,AdexLink,CA,Campbell,95008,"37,288326","-121,945633",Campbell CA 95008,16.08.2010,22.12.2014,,advertising,1,0,146596
1050000,2100000,0,1,0,1,27.07.2010,1136,22.07.2009,01.01.2008,Unique,Failed,0,27.07.2010,1,Medium (2M+),2,2100000,1029,FlyCast,PA,Lancaster,17603,"40,039353","-76,307448",Unknown,01.01.2006,02.02.2019,,mobile,2,3,7163
666666,1000000,1,2,172,2,01.01.2009,0,21.06.2009,21.06.2009,Unique,Successful (Acquired),0,21.06.2009,2,Medium (2M+),1,2000000,429,"ORCA, Inc.",NY,New York,10016,"40,745003","-73,983229",Unknown,01.01.2008,,19.03.2017,ecommerce,3,5,25307
18400000,18400000,0,1,0,1,01.04.2009,730,01.01.2008,01.01.2007,Unique,Failed,0,01.04.2009,1,Medium-High (10M+),2,18400000,660,Kardia Health Systems,MN,Golden Valley,55416,"44,96659","-93,331943",Golden Valley MN 55416,01.01.2006,26.09.2016,,enterprise,1,2,37934
2300000,766666,1,3,735,3,26.03.2009,0,01.03.2007,01.03.2007,Unique,Successful (Acquired),2,30.03.2011,3,Medium (2M+),1,2300000,342,HotPads,CA,San Francisco,94104,"38,904549","-77,061767",Unknown,04.05.2005,,17.10.2015,web,1,15,2033
14375000,19166666,1,3,252,3,02.04.2013,2286,05.04.2012,05.03.2010,Unique,Successful (Acquired),0,11.12.2013,3,High (50M+),3,57500000,748,Instagram,CA,San Francisco,94107,"37,779281","-122,419236",San Francisco CA 94107,01.03.2010,,12.09.2019,photo_video,4,12,43233
11500000,1916666,1,6,2352,6,27.06.2007,302,01.04.2006,01.11.2005,Unique,Successful (Acquired),6,02.12.2013,6,Medium-High (10M+),2,11500000,981,YouTube,CA,San Bruno,94066,"37,627971","-122,426804",Unknown,01.02.2005,,28.09.2015,games_video,1,63,63
9504835,19009671,0,1,0,1,01.01.1998,8943,10.11.2010,12.09.2002,Unique,Failed,0,01.01.1998,1,Medium-High (10M+),3,19009671,617,Viacor,MA,Wilmington,1887,"42,546483","-71,173667",Wilmington MA 1887,01.12.1999,18.07.2016,,biotech,2,10,35157
