founding_year,Calculation1,amount_milestones_corrected,age_last_funding,age_first_funding,is_first_funding_the_biggest_funding,First_funding_amount,biggest_funding_amount_share_of_total_funding_%,biggest_funding_amount,Funding_rounds,days_from_first_to_last_milestone,average_days_per_milestone,Funding_total,funding_duration_days,days_per_funding,average_funding_size,Is_Successful,state,FoundingDate,BusinessField,NumContributors,NumPartners
2009,1,2,1236,1236,1,1500000,100,1500000,1,1627,813,1500000,0,0,1500000,1,DC,12.06.2009,enterprise,2,4
2006,0,4,963,214,1,6252143,37,6252143,3,923,230,16500000,749,249,5500000,1,CA,01.06.2006,web,1,13
2002,0,1,1471,1471,1,12500000,100,12500000,1,0,0,12500000,0,0,12500000,1,WA,01.01.2002,network_hosting,3,5
2007,1,2,815,153,0,16030424,54,18969576,2,768,384,35000000,662,331,17500000,1,CA,01.05.2007,enterprise,2,8
2005,0,4,1520,424,0,11437222,42,14034886,4,2161,540,33000000,1096,274,8250000,1,CA,01.01.2005,mobile,1,19
2002,0,1,2058,2058,1,10500000,100,10500000,1,0,0,10500000,0,0,10500000,1,MA,01.01.2002,security,4,3
2009,1,4,1406,470,1,8161043,87,8161043,2,1037,259,9356180,936,468,4678090,1,CA,30.04.2009,analytics,1,11
2006,0,5,1109,243,1,12776318,74,12776318,3,1115,223,17200000,866,288,5733333,1,NY,01.01.2006,games_video,2,10
2006,0,1,700,700,1,4410000,100,4410000,1,0,0,4410000,0,0,4410000,1,CA,01.06.2006,mobile,1,4
2008,1,3,257,166,0,236151,76,763849,2,422,140,1000000,91,45,500000,1,CA,01.11.2008,finance,5,5
2010,0,1,60,60,1,3000000,100,3000000,1,0,0,3000000,0,0,3000000,1,CA,01.05.2010,software,1,3
2007,1,1,0,0,1,5000000,100,5000000,1,0,0,5000000,0,0,5000000,0,NY,01.06.2007,games_video,2,2
2009,1,2,1267,0,0,2729064,62,6241974,5,698,349,10000003,1267,253,2000000,1,CO,01.01.2009,enterprise,1,4
2009,1,2,1121,275,0,253937,59,1193075,3,214,107,2000000,846,282,666666,1,CA,01.04.2009,sports,3,16
2006,0,2,1873,243,0,17585320,49,20432869,4,1188,594,41000000,1630,407,10250000,1,MA,01.01.2006,health,1,15
2010,0,1,546,546,1,2500000,100,2500000,1,0,0,2500000,0,0,2500000,1,TX,01.01.2010,analytics,2,5
2007,1,2,992,303,0,662846,86,4337154,2,199,99,5000000,689,344,2500000,1,CA,01.02.2007,web,1,17
2003,0,1,1461,985,0,2904679,85,16795321,2,0,0,19700000,476,238,9850000,0,CA,01.01.2003,software,4,2
2010,0,2,668,668,1,1700000,100,1700000,1,0,0,1700000,0,0,1700000,0,CA,01.02.2010,social,1,4
2005,0,2,1104,487,1,7062853,61,7062853,3,115,57,11489687,617,205,3829895,1,CA,01.09.2005,advertising,3,9
2000,0,1,2749,2749,1,30000000,100,30000000,1,0,0,30000000,0,0,30000000,1,NY,01.01.2000,web,5,2
2012,0,1,214,214,1,2600000,100,2600000,1,0,0,2600000,0,0,2600000,1,CA,01.01.2012,ecommerce,2,8
2005,0,4,1710,610,1,5142471,89,5142471,3,1167,291,5750000,1100,366,1916666,1,CA,01.06.2005,web,1,14
2010,0,4,1326,1326,1,75000000,100,75000000,1,960,240,75000000,0,0,75000000,1,PA,01.01.2010,ecommerce,1,4
2007,1,2,2004,122,0,1119398,47,9232007,5,1036,518,19389998,1882,376,3877999,1,WA,01.09.2007,education,1,14
2002,0,1,3025,2459,1,8728047,96,8728047,2,0,0,9000000,566,283,4500000,1,CA,01.01.2002,web,1,5
2010,0,2,273,273,1,3500000,100,3500000,1,535,267,3500000,0,0,3500000,1,NY,01.02.2010,social,2,5
2006,0,3,522,522,1,4000000,100,4000000,1,406,135,4000000,0,0,4000000,1,CA,01.01.2006,software,4,5
2010,0,1,61,61,1,20000,100,20000,1,0,0,20000,0,0,20000,0,MA,01.03.2010,advertising,1,3
2000,0,3,3697,780,1,56150876,92,56150876,4,646,215,60704370,2917,729,15176092,1,GA,31.10.2000,transportation,2,35
2002,0,3,1371,1371,1,22000000,100,22000000,1,3531,1177,22000000,0,0,22000000,1,MA,01.01.2002,mobile,4,2
2010,0,1,832,489,1,644227,95,644227,2,0,0,675000,343,171,337500,1,TN,01.01.2010,web,1,3
2008,1,3,714,714,1,3011408,100,3011408,1,17,5,3011408,0,0,3011408,1,CA,01.01.2008,software,1,11
2005,0,3,2856,273,0,15344,58,15560005,7,580,193,26390819,2583,369,3770117,0,WA,03.03.2005,web,1,16
2001,1,1,3139,2389,1,17198240,65,17198240,3,0,0,26200000,750,250,8733333,1,CA,01.01.2001,semiconductor,2,4
2002,0,1,3269,1354,1,22353991,88,22353991,4,0,0,25305000,1915,478,6326250,1,CA,01.01.2002,software,2,7
2007,1,2,1917,1144,1,5395060,79,5395060,2,149,74,6760000,773,386,3380000,0,CA,01.01.2007,web,1,6
2007,1,5,1795,272,1,113370187,90,113370187,6,1386,277,125250000,1523,253,20875000,1,NY,01.02.2007,web,3,30
2005,0,6,424,273,1,9478733,82,9478733,2,2350,391,11500000,151,75,5750000,1,CA,01.02.2005,games_video,1,63
2007,1,2,1853,1853,1,5000000,100,5000000,1,471,235,5000000,0,0,5000000,1,CA,01.04.2007,enterprise,1,7
2000,0,4,2203,2203,1,8000000,100,8000000,1,773,193,8000000,0,0,8000000,1,WA,01.01.2000,web,1,19
2008,1,3,996,335,1,7720350,73,7720350,3,114,38,10500000,661,220,3500000,0,CA,01.01.2008,mobile,2,8
2005,0,2,1718,1718,1,940261,100,940261,1,1414,707,940261,0,0,940261,1,IL,01.11.2005,software,1,17
2008,1,2,886,58,0,1395118,84,7604882,2,870,435,9000000,828,414,4500000,0,WA,01.09.2008,ecommerce,1,1
2004,0,4,425,121,1,6277583,78,6277583,2,2654,663,8000000,304,152,4000000,1,IL,01.02.2004,web,4,16
2002,0,1,1414,1247,0,345146,96,8654854,2,0,0,9000000,167,83,4500000,1,NY,01.01.2002,software,4,3
2010,0,3,423,423,1,205000,100,205000,1,1105,368,205000,0,0,205000,1,CA,25.01.2010,web,7,3
2008,1,3,1126,793,0,2202494,41,2805328,3,616,205,6693782,333,111,2231260,1,CA,01.01.2008,real_estate,1,7
2004,0,2,3023,858,0,2861152,72,27505114,4,2658,1329,38064570,2165,541,9516142,1,CA,01.01.2004,security,3,16
2000,0,3,2750,2312,1,13602949,78,13602949,3,1372,457,17400000,438,146,5800000,1,CA,01.12.2000,web,2,8
2003,0,1,2751,2751,1,15000000,100,15000000,1,0,0,15000000,0,0,15000000,1,CA,01.01.2003,medical,6,6
2005,0,3,1317,552,1,6485600,88,6485600,2,1037,345,7350000,765,382,3675000,0,NY,07.04.2005,games_video,1,8
2007,1,2,1256,1256,1,6000000,100,6000000,1,626,313,6000000,0,0,6000000,1,CA,01.01.2007,software,2,6
2004,0,3,989,484,1,17482573,60,17482573,2,764,254,29000000,505,252,14500000,1,CA,06.12.2004,software,2,6
2008,1,1,75,75,1,1500000,100,1500000,1,0,0,1500000,0,0,1500000,0,CA,01.01.2008,games_video,1,1
2000,0,5,1796,1065,0,3133169,80,12866831,2,3835,767,16000000,731,365,8000000,1,MA,01.01.2000,web,1,6
2007,1,3,759,243,0,1483493,55,5560796,3,459,153,10000000,516,172,3333333,1,CA,01.01.2007,advertising,2,23
2008,1,2,1815,783,1,4036035,50,4036035,5,126,63,7939553,1032,206,1587910,1,CA,01.01.2008,web,2,4
2000,0,1,2286,2286,1,22200000,100,22200000,1,0,0,22200000,0,0,22200000,0,CA,01.01.2000,public_relations,9,10
2007,1,4,776,256,1,5385314,97,5385314,3,603,150,5550000,520,173,1850000,1,CA,01.09.2007,games_video,3,10
2008,1,4,1248,153,1,13728276,97,13728276,4,456,114,14100000,1095,273,3525000,1,CA,01.07.2008,enterprise,2,19
2003,0,1,2675,811,1,8788239,79,8788239,3,0,0,11000000,1864,621,3666666,1,CA,01.01.2003,software,1,4
2004,0,4,2124,396,1,27326104,65,27326104,4,1128,282,42000000,1728,432,10500000,1,VA,01.03.2004,web,2,14
2008,1,4,853,853,1,4000000,100,4000000,1,654,163,4000000,0,0,4000000,0,ID,01.10.2008,mobile,1,5
2008,1,2,871,38,1,3396533,84,3396533,2,168,84,4000000,833,416,2000000,0,CA,01.01.2008,travel,1,7
2004,0,1,1439,761,1,13860606,68,13860606,2,0,0,20220000,678,339,10110000,1,CA,01.01.2004,hardware,3,3
2006,0,4,1353,184,0,348033,81,7649836,3,378,94,9400000,1169,389,3133333,1,CA,01.07.2006,games_video,4,5
2003,0,1,1139,1139,1,20000000,100,20000000,1,0,0,20000000,0,0,20000000,1,CA,01.01.2003,security,3,4
2002,0,1,2067,2067,1,30000000,100,30000000,1,0,0,30000000,0,0,30000000,1,CA,01.01.2002,biotech,9,4
2005,0,4,1215,668,0,925319,94,16174681,2,1589,397,17100000,547,273,8550000,1,PA,01.04.2005,web,2,16
2003,0,3,3635,639,0,9624993,61,20643259,7,408,136,33672656,2996,428,4810379,1,CO,01.06.2003,web,2,35
2008,1,3,1617,213,1,4090404,54,4090404,4,326,108,7516703,1404,351,1879175,0,VA,01.01.2008,mobile,1,5
2008,1,3,765,273,0,519276,74,1480724,2,161,53,2000000,492,246,1000000,1,RI,01.11.2008,advertising,1,6
2005,0,3,700,247,1,7842790,54,7842790,2,612,204,14300000,453,226,7150000,1,CA,01.10.2005,web,4,13
2007,1,1,967,967,1,29000000,100,29000000,1,0,0,29000000,0,0,29000000,0,WA,01.01.2007,games_video,1,1
2003,0,1,2239,2239,1,8000000,100,8000000,1,0,0,8000000,0,0,8000000,1,CA,01.01.2003,security,2,5
2006,0,0,894,894,0,334141,66,665859,2,,,1000000,0,0,500000,0,GA,01.06.2006,software,2,0
2002,0,0,1371,1371,1,27500000,100,27500000,1,,,27500000,0,0,27500000,1,CA,01.01.2002,semiconductor,7,1
2006,0,0,510,510,1,205000,100,205000,1,,,205000,0,0,205000,0,MO,19.09.2006,network_hosting,1,1
2002,0,0,3047,1729,1,14132785,63,14132785,10,,,22165091,1318,131,2216509,1,NY,01.01.2002,network_hosting,2,4
2003,0,0,1547,1547,1,50000000,100,50000000,1,,,50000000,0,0,50000000,1,CA,01.01.2003,biotech,6,1
2008,1,0,747,747,1,12000000,100,12000000,1,,,12000000,0,0,12000000,0,NJ,01.01.2008,cleantech,6,2
2011,0,0,579,226,1,500848,56,500848,2,,,890000,353,176,445000,0,NY,01.01.2011,mobile,3,2
2005,0,0,1832,1832,1,26100000,100,26100000,1,,,26100000,0,0,26100000,1,NJ,01.01.2005,biotech,2,1
1985,0,0,7594,7594,1,32000000,100,32000000,1,,,32000000,0,0,32000000,0,GA,01.01.1985,software,7,2
2004,0,0,1768,1768,1,10000000,100,10000000,1,,,10000000,0,0,10000000,0,CA,01.01.2004,software,1,2
2002,0,0,1864,1864,1,25000000,100,25000000,1,,,25000000,0,0,25000000,1,CA,01.01.2002,semiconductor,4,3
2006,0,0,1987,1279,1,2019569,57,2019569,2,,,3508462,708,354,1754231,0,PA,01.06.2006,medical,3,3
1999,0,0,3980,2890,1,12301596,93,12301596,3,,,13222860,1090,363,4407620,0,OH,01.01.1999,other,3,4
2003,0,0,1562,1562,1,9000000,100,9000000,1,,,9000000,0,0,9000000,0,TX,01.01.2003,other,2,4
1996,0,0,4137,4137,1,7410000,100,7410000,1,,,7410000,0,0,7410000,0,NY,01.01.1996,biotech,3,3
2009,1,0,1315,895,0,493322,87,3506678,2,,,4000000,420,210,2000000,0,CA,01.01.2009,manufacturing,1,9
2003,0,0,1224,856,0,34158330,52,38141670,2,,,72300000,368,184,36150000,1,CA,01.01.2003,advertising,4,3
2000,0,0,3466,1983,1,7233222,51,7233222,3,,,14000000,1483,494,4666666,1,WA,28.08.2000,photo_video,3,13
2010,0,0,273,273,1,55199,55,55199,2,,,100000,0,0,50000,0,NY,01.06.2010,advertising,1,3
2006,0,0,1661,248,0,34934534,58,50046693,5,,,85381111,1413,282,17076222,1,MA,01.01.2006,biotech,4,2
2006,0,0,2739,424,1,18155999,95,18155999,4,,,19000000,2315,578,4750000,1,CA,01.01.2006,games_video,2,5
2009,1,0,918,515,0,266321,78,946745,2,,,1213066,403,201,606533,0,PA,01.01.2009,enterprise,1,0
2004,0,0,1641,1641,1,10000000,100,10000000,1,,,10000000,0,0,10000000,1,WA,01.11.2004,software,3,4
2005,0,0,1601,24,0,24086066,38,27005396,4,,,69900000,1577,394,17475000,1,PA,01.01.2005,biotech,4,15
2006,0,0,1098,443,1,6997748,99,6997748,2,,,7000000,655,327,3500000,0,CA,01.01.2006,software,1,4
2004,0,0,1790,1790,1,350000,100,350000,1,,,350000,0,0,350000,0,KY,01.01.2004,web,1,0
2004,0,0,1152,1152,1,20000000,100,20000000,1,,,20000000,0,0,20000000,0,CA,01.01.2004,hardware,3,0
2006,0,0,1674,1674,1,100000,100,100000,1,,,100000,0,0,100000,0,PA,01.01.2006,biotech,1,1
2000,0,0,3148,1936,0,16476786,54,28763842,3,,,53000000,1212,404,17666666,1,CA,01.01.2000,semiconductor,4,4
2005,0,0,2274,752,1,19901488,70,19901488,3,,,28200000,1522,507,9400000,1,MN,01.01.2005,medical,3,7
1996,0,0,4068,4068,1,18000000,100,18000000,1,,,18000000,0,0,18000000,0,AZ,01.01.1996,semiconductor,7,0
2006,0,0,153,153,1,4808258,81,4808258,3,,,5900000,0,0,1966666,0,FL,01.08.2006,software,1,5
2007,1,0,318,318,1,30000,100,30000,1,,,30000,0,0,30000,0,TX,11.12.2007,software,1,1
2006,0,0,2647,914,1,191157146,82,191157146,6,,,232000100,1733,288,38666683,1,CA,01.01.2006,biotech,3,4
2000,0,0,3440,1774,0,23655658,35,25955441,7,,,74000000,1666,238,10571428,0,CA,01.01.2000,semiconductor,1,3
2001,1,0,2192,1885,1,15612565,62,15612565,3,,,25131611,307,102,8377203,1,GA,01.01.2001,mobile,1,1
2003,0,0,958,958,1,25000000,100,25000000,1,,,25000000,0,0,25000000,1,CA,01.01.2003,software,5,4
2006,0,0,1491,1471,1,2103885,93,2103885,2,,,2257464,20,10,1128732,0,MD,01.01.2006,biotech,1,3
1999,0,0,2412,2412,1,200000,100,200000,1,,,200000,0,0,200000,0,VA,01.01.1999,public_relations,1,0
2009,1,0,6,6,1,25000,100,25000,1,,,25000,0,0,25000,0,CA,20.06.2009,web,1,3
2008,1,0,856,856,1,35000000,100,35000000,1,,,35000000,0,0,35000000,0,PA,01.01.2008,cleantech,1,0
2007,1,0,1902,1088,0,4225116,69,9649885,2,,,13875001,814,407,6937500,0,NM,01.01.2007,cleantech,1,4
2006,0,0,731,731,1,500000,100,500000,1,,,500000,0,0,500000,0,NY,29.08.2006,web,5,4
2009,1,0,304,304,1,545000,100,545000,1,,,545000,0,0,545000,0,CA,01.01.2009,public_relations,1,3
2001,1,0,1828,1828,1,980000,100,980000,1,,,980000,0,0,980000,0,MA,01.01.2001,software,1,2
2003,0,0,1470,1470,1,15000000,100,15000000,1,,,15000000,0,0,15000000,0,CA,01.01.2003,semiconductor,1,0
2002,0,0,2177,1346,0,5022000,62,8478000,2,,,13500000,831,415,6750000,1,MA,01.10.2002,software,2,7
2007,1,0,1100,274,1,46516686,86,46516686,3,,,54000000,826,275,18000000,0,CA,01.01.2007,cleantech,2,3
2002,0,0,1216,1216,1,9500000,100,9500000,1,,,9500000,0,0,9500000,0,CA,01.01.2002,software,2,0
2001,1,0,3844,3844,1,2600000,100,2600000,1,,,2600000,0,0,2600000,0,CA,01.01.2001,mobile,1,0
2002,0,0,1540,1540,1,1000000,100,1000000,1,,,1000000,0,0,1000000,0,CA,01.01.2002,network_hosting,2,0
2000,0,0,3013,366,0,13721854,41,28580204,4,,,68400000,2647,661,17100000,1,CA,01.01.2000,mobile,4,6
2003,0,0,2638,1951,0,540927,76,9990115,4,,,13045000,687,171,3261250,1,CA,01.01.2003,semiconductor,2,2
2006,0,0,2458,1431,0,9697566,75,33344914,3,,,44000000,1027,342,14666666,0,MN,01.01.2006,medical,1,3
2000,0,0,1986,1986,1,1000000,100,1000000,1,,,1000000,0,0,1000000,0,WV,01.01.2000,software,3,1
2004,0,0,1277,433,1,10419169,86,10419169,2,,,12050000,844,422,6025000,0,CA,01.01.2004,software,1,0
2002,0,0,2957,1791,1,1979643,44,1979643,3,,,4476171,1166,388,1492057,0,CA,01.01.2002,advertising,2,3
2004,0,0,1431,719,1,11705082,50,11705082,2,,,23000000,712,356,11500000,0,NY,01.10.2004,ecommerce,3,2
2000,0,0,2042,2042,1,26000000,100,26000000,1,,,26000000,0,0,26000000,1,MA,01.01.2000,semiconductor,2,3
2003,0,0,2328,829,1,41130487,76,41130487,6,,,53816776,1499,249,8969462,1,CA,29.08.2003,software,5,8
2002,0,0,1359,1359,1,4000000,100,4000000,1,,,4000000,0,0,4000000,0,CA,01.01.2002,public_relations,3,1
2005,0,0,1334,1334,1,1900000,100,1900000,1,,,1900000,0,0,1900000,0,CO,01.01.2005,other,1,0
2002,0,0,2012,1382,0,32363208,61,50636792,2,,,83000000,630,315,41500000,1,CA,01.01.2002,biotech,1,11
2005,0,0,1295,586,0,5705980,66,21571083,3,,,32200000,709,236,10733333,1,CA,22.04.2005,mobile,4,10
2005,0,0,2081,388,1,39608204,90,39608204,3,,,44000000,1693,564,14666666,0,CA,01.01.2005,hardware,4,0
2007,1,0,1288,1288,1,2000000,100,2000000,1,,,2000000,0,0,2000000,0,CA,01.01.2007,hardware,1,1
2005,0,0,1703,426,1,9531859,61,9531859,3,,,15564591,1277,425,5188197,0,DC,01.05.2005,advertising,3,1
2004,0,0,799,799,1,9000000,100,9000000,1,,,9000000,0,0,9000000,0,TX,01.03.2004,semiconductor,4,32
2009,1,0,279,279,1,500000,100,500000,1,,,500000,0,0,500000,0,PA,01.01.2009,games_video,1,3
2002,0,0,1498,1350,0,3270623,78,11729377,2,,,15000000,148,74,7500000,1,MA,01.01.2002,enterprise,5,4
2005,0,0,1999,1999,1,30000000,100,30000000,1,,,30000000,0,0,30000000,1,CA,01.01.2005,medical,6,5
2003,0,0,1728,1065,0,13281110,55,16718890,2,,,30000000,663,331,15000000,1,CA,01.01.2003,network_hosting,2,1
2000,0,0,2113,2113,1,13000000,100,13000000,1,,,13000000,0,0,13000000,1,WA,01.01.2000,software,4,1
2005,0,0,530,530,1,4000000,100,4000000,1,,,4000000,0,0,4000000,0,CA,01.06.2005,web,3,0
2000,0,0,420,42,0,2026040,65,27517317,3,,,42000000,378,126,14000000,1,MA,03.01.2000,advertising,2,7
2001,1,0,1639,1639,1,11000000,100,11000000,1,,,11000000,0,0,11000000,1,NY,01.01.2001,public_relations,3,2
2008,1,0,0,0,1,120000,100,120000,1,,,120000,0,0,120000,0,CA,01.01.2008,public_relations,2,3
2011,0,0,56,56,1,600000,100,600000,1,,,600000,0,0,600000,0,NY,15.11.2011,web,2,4
2001,1,0,2326,2326,1,4000000,100,4000000,1,,,4000000,0,0,4000000,0,FL,01.01.2001,software,1,0
2008,1,0,487,31,0,231547,53,268453,2,,,500000,456,228,250000,0,CA,01.08.2008,software,1,6
2006,0,0,1728,39,1,12935995,66,12935995,4,,,19550000,1689,422,4887500,0,TX,01.09.2006,consulting,1,0
2008,1,0,135,135,1,7000000,100,7000000,1,,,7000000,0,0,7000000,0,OR,01.01.2008,semiconductor,1,3
2001,1,0,2128,1575,1,12891288,80,12891288,2,,,16000000,553,276,8000000,0,MA,01.01.2001,software,1,1
1999,0,0,3084,3084,1,42700000,100,42700000,1,,,42700000,0,0,42700000,0,CA,01.01.1999,biotech,3,1
2000,0,0,3765,1809,1,27702172,71,27702172,4,,,39000000,1956,489,9750000,0,TX,01.07.2000,semiconductor,3,0
2006,0,0,989,365,1,8441846,70,8441846,2,,,12000000,624,312,6000000,0,NY,01.01.2006,games_video,1,1
2008,1,0,1595,1595,1,662000,100,662000,1,,,662000,0,0,662000,0,ME,01.01.2008,manufacturing,3,0
2001,1,0,1541,1541,1,26000000,100,26000000,1,,,26000000,0,0,26000000,0,CA,01.01.2001,public_relations,4,4
2000,0,0,2064,2064,1,2500000,100,2500000,1,,,2500000,0,0,2500000,0,CA,01.01.2000,software,1,0
1997,0,0,3927,3927,1,2000000,100,2000000,1,,,2000000,0,0,2000000,0,CA,01.01.1997,biotech,1,0
2006,0,0,1657,520,0,4644216,63,11899115,3,,,18700000,1137,379,6233333,0,CA,01.01.2006,semiconductor,1,0
2005,0,0,871,0,0,6174297,52,6825703,2,,,13000000,871,435,6500000,1,CA,01.01.2005,software,2,5
2002,0,0,1156,1156,1,12000000,100,12000000,1,,,12000000,0,0,12000000,1,CA,01.01.2002,games_video,5,4
2000,0,0,2714,1521,1,30955373,88,30955373,2,,,35000000,1193,596,17500000,1,NY,01.01.2000,advertising,3,25
2000,0,0,3799,2516,1,35204149,66,35204149,3,,,52800000,1283,427,17600000,1,CA,01.01.2000,semiconductor,5,5
2002,0,0,2514,2080,0,3191035,63,5608965,2,,,8800000,434,217,4400000,0,GA,01.01.2002,semiconductor,1,2
2010,0,0,298,298,1,2000000,100,2000000,1,,,2000000,0,0,2000000,0,CA,16.08.2010,advertising,1,0
2013,0,0,322,322,1,12000000,100,12000000,1,,,12000000,0,0,12000000,0,CA,01.01.2013,ecommerce,9,7
1992,0,0,5993,5993,1,6000000,100,6000000,1,,,6000000,0,0,6000000,0,TX,01.01.1992,cleantech,1,0
2010,0,0,212,212,1,500000,100,500000,1,,,500000,0,0,500000,0,CA,01.01.2010,real_estate,1,13
2005,0,0,1838,820,1,8861598,93,8861598,2,,,9500000,1018,509,4750000,0,CA,01.01.2005,hardware,3,2
2005,0,0,1809,789,0,1103402,72,2896598,2,,,4000000,1020,510,2000000,0,CT,01.01.2005,messaging,2,2
2008,1,0,0,0,1,125000,100,125000,1,,,125000,0,0,125000,0,FL,01.09.2008,enterprise,1,2
2000,0,0,2612,2399,1,102039521,68,102039521,3,,,148000000,213,71,49333333,0,CA,01.01.2000,hardware,1,1
1999,0,0,397,397,1,20500000,100,20500000,1,,,20500000,0,0,20500000,0,WA,01.12.1999,software,1,5
2000,0,0,2599,2599,1,18800000,100,18800000,1,,,18800000,0,0,18800000,1,TX,01.01.2000,semiconductor,7,3
2004,0,0,1691,1069,0,1175054,92,14024946,2,,,15200000,622,311,7600000,1,CA,01.01.2004,software,2,13
2004,0,0,1430,1430,1,9509214,79,9509214,2,,,12000000,0,0,6000000,0,CA,01.01.2004,hardware,1,2
2001,1,0,1953,1953,1,15000000,100,15000000,1,,,15000000,0,0,15000000,1,NY,01.01.2001,games_video,4,6
2010,0,0,0,0,1,45000000,100,45000000,1,,,45000000,0,0,45000000,0,IL,01.08.2010,web,2,1
2007,1,0,1829,1116,1,58056005,64,58056005,4,,,89400001,713,178,22350000,1,CA,01.01.2007,biotech,4,2
2004,0,0,2661,2154,1,19389399,97,19389399,4,,,19800000,507,126,4950000,1,CA,01.01.2004,biotech,5,1
2002,0,0,2172,2172,1,21500000,100,21500000,1,,,21500000,0,0,21500000,1,TX,01.01.2002,public_relations,4,1
2007,1,0,123,92,0,163312,64,291688,2,,,455000,31,15,227500,0,CO,01.05.2007,public_relations,1,5
2005,0,0,601,601,0,3515202,53,3984798,2,,,7500000,0,0,3750000,1,CA,01.01.2005,software,2,4
2006,0,0,604,212,1,443810,52,443810,2,,,850000,392,196,425000,0,CA,01.10.2006,ecommerce,1,3
2005,0,0,464,31,1,7511837,60,7511837,3,,,12500000,433,144,4166666,1,WA,01.01.2005,software,2,5
2007,1,0,659,659,1,3000000,100,3000000,1,,,3000000,0,0,3000000,0,TX,01.01.2007,software,1,1
2003,0,0,2029,1339,1,8877771,97,8877771,3,,,9100000,690,230,3033333,0,TX,01.01.2003,software,1,0
2007,1,0,1941,343,1,34320206,46,34320206,5,,,74000000,1598,319,14800000,1,CA,01.01.2007,analytics,5,13
2007,1,0,0,0,1,990000,100,990000,1,,,990000,0,0,990000,0,CA,29.08.2007,web,1,2
2002,0,0,1571,1571,1,2600000,100,2600000,1,,,2600000,0,0,2600000,0,MD,01.01.2002,public_relations,1,0
2009,1,0,30,30,1,25000,100,25000,1,,,25000,0,0,25000,0,PA,01.06.2009,security,1,2
2007,1,0,610,610,1,350000,100,350000,1,,,350000,0,0,350000,0,WA,01.04.2007,hardware,1,3
2004,0,0,973,973,1,5500000,100,5500000,1,,,5500000,0,0,5500000,0,CA,01.02.2004,web,1,6
2004,0,0,1161,579,1,16778956,69,16778956,3,,,24150000,582,194,8050000,1,PA,01.01.2004,semiconductor,2,1
2002,0,0,2869,1659,0,11350839,60,17149161,2,,,28500000,1210,605,14250000,0,CA,01.01.2002,biotech,4,2
2000,0,0,3033,2495,1,4227661,57,4227661,2,,,7300000,538,269,3650000,0,GA,01.01.2000,biotech,3,5
2000,0,0,1980,1980,1,8700000,100,8700000,1,,,8700000,0,0,8700000,0,WA,01.01.2000,network_hosting,1,0
2005,0,0,2364,684,1,19559942,92,19559942,5,,,21138876,1680,336,4227775,0,CA,01.01.2005,advertising,2,4
2004,0,0,2202,875,1,8034396,37,8034396,4,,,21470000,1327,331,5367500,0,CA,01.01.2004,cleantech,1,1
2008,1,0,1850,1372,0,5260862,53,16657387,3,,,30926154,478,159,10308718,0,CA,01.01.2008,medical,1,2
2003,0,0,1385,1385,1,45000000,100,45000000,1,,,45000000,0,0,45000000,1,NY,01.01.2003,advertising,1,21
1998,0,0,3357,3346,1,13331828,74,13331828,2,,,17800000,11,5,8900000,0,CA,01.01.1998,software,1,0
2003,0,0,1332,1332,1,21000000,100,21000000,1,,,21000000,0,0,21000000,0,CA,01.01.2003,software,1,2
2002,0,0,2038,1491,1,40323001,84,40323001,2,,,48000000,547,273,24000000,0,CA,01.01.2002,hardware,6,2
2003,0,0,1489,1489,1,4000000,100,4000000,1,,,4000000,0,0,4000000,0,CA,01.01.2003,software,6,0
2004,0,0,2414,753,1,13049379,85,13049379,4,,,15180000,1661,415,3795000,1,CA,01.01.2004,enterprise,1,5
2003,0,0,1465,1465,1,7000000,100,7000000,1,,,7000000,0,0,7000000,0,CA,01.01.2003,semiconductor,1,0
2006,0,0,239,239,1,900000,100,900000,1,,,900000,0,0,900000,0,CA,01.01.2006,software,1,3
2003,0,0,1471,818,0,593452,96,15506548,2,,,16100000,653,326,8050000,1,MA,01.01.2003,software,2,3
2000,0,0,1885,1885,1,5750000,100,5750000,1,,,5750000,0,0,5750000,0,PA,01.01.2000,public_relations,4,0
2004,0,0,3001,2132,1,29688437,62,29688437,3,,,47218498,869,289,15739499,0,CA,01.01.2004,semiconductor,1,4
1996,0,0,4173,4173,1,20000000,100,20000000,1,,,20000000,0,0,20000000,0,CA,01.01.1996,hardware,5,1
